Company,Symbol,Weight,      Price,,
Dover Corporation,DOV,0.060554,   158.62,,
Ameren Corporation,AEE,0.059776,   89.19,,
Best Buy Co. Inc.,BBY,0.059638,   99.11,,
Paramount Global Class B,PARA,0.059355,   36.22,,
Diamondback Energy Inc.,FANG,0.059098,   138.56,,
Skyworks Solutions Inc.,SWKS,0.058973,   134.49,,
KeyCorp,KEY,0.05893,   24.00,,
Hewlett Packard Enterprise Co.,HPE,0.058795,   17.06,,
Essex Property Trust Inc.,ESS,0.058677,   340.28,,
Fortive Corp.,FTV,0.058597,   61.52,,
Entergy Corporation,ETR,0.058084,   110.13,,
W.W. Grainger Inc.,GWW,0.05807,   505.05,,
Regions Financial Corporation,RF,0.057862,   23.01,,
Huntington Bancshares Incorporated,HBAN,0.05786,   15.14,,
Duke Realty Corporation,DRE,0.056827,   56.18,,
VeriSign Inc.,VRSN,0.05674,   215.10,,
Ulta Beauty Inc,ULTA,0.056593,   382.91,,
Citizens Financial Group Inc.,CFG,0.055412,   49.34,,
Nasdaq Inc.,NDAQ,0.055015,   177.77,,
Ingersoll Rand Inc.,IR,0.055006,   50.97,,
Waters Corporation,WAT,0.054811,   338.79,,
Cooper Companies Inc.,COO,0.054794,   416.95,,
CF Industries Holdings Inc.,CF,0.054235,   100.87,,
Teledyne Technologies Incorporated,TDY,0.05401,   446.98,,
Monolithic Power Systems Inc.,MPWR,0.053982,   463.46,,
PPL Corporation,PPL,0.053527,   26.89,,
Coterra Energy Inc.,CTRA,0.053314,   25.27,,
Molina Healthcare Inc.,MOH,0.053307,   338.98,,
Generac Holdings Inc.,GNRC,0.053231,   308.98,,
NetApp Inc.,NTAP,0.053115,   88.37,,
Teradyne Inc.,TER,0.05303,   120.78,,
Signature Bank,SBNY,0.051998,   310.70,,
Synchrony Financial,SYF,0.051951,   36.81,,
Catalent Inc,CTLT,0.051827,   107.90,,
Raymond James Financial Inc.,RJF,0.051816,   105.56,,
Pool Corporation,POOL,0.051646,   479.75,,
FLEETCOR Technologies Inc.,FLT,0.051393,   242.34,,
CMS Energy Corporation,CMS,0.050816,   67.06,,
Cincinnati Financial Corporation,CINF,0.050657,   130.87,,
Akamai Technologies Inc.,AKAM,0.050603,   115.64,,
Hologic Inc.,HOLX,0.050329,   75.60,,
Seagate Technology Holdings PLC,STX,0.050056,   92.89,,
Etsy Inc.,ETSY,0.049648,   144.08,,
V.F. Corporation,VFC,0.049121,   56.91,,
Genuine Parts Company,GPC,0.048804,   128.46,,
Jacobs Engineering Group Inc.,J,0.048577,   140.60,,
CenterPoint Energy Inc.,CNP,0.048356,   29.38,,
Marathon Oil Corporation,MRO,0.048066,   24.76,,
Westinghouse Air Brake Technologies Corporation,WAB,0.048029,   96.98,,
Expeditors International of Washington Inc.,EXPD,0.047907,   105.92,,
Quanta Services Inc.,PWR,0.047815,   128.57,,
J.B. Hunt Transport Services Inc.,JBHT,0.047792,   214.06,,
Trimble Inc.,TRMB,0.047717,   70.99,,
Omnicom Group Inc,OMC,0.047706,   83.68,,
Garmin Ltd.,GRMN,0.047572,   117.49,,
Amcor PLC,AMCR,0.047524,   11.48,,
Healthpeak Properties Inc.,PEAK,0.047203,   33.18,,
Broadridge Financial Solutions Inc.,BR,0.047102,   151.83,,
Tyler Technologies Inc.,TYL,0.047097,   431.18,,
Quest Diagnostics Incorporated,DGX,0.046795,   143.65,,
Boston Properties Inc.,BXP,0.046729,   125.86,,
International Paper Company,IP,0.046474,   44.71,,
Take-Two Interactive Software Inc.,TTWO,0.046403,   152.02,,
Principal Financial Group Inc.,PFG,0.046177,   69.75,,
Darden Restaurants Inc.,DRI,0.046002,   130.84,,
Caesars Entertainment Inc,CZR,0.045814,   77.51,,
Bio-Techne Corporation,TECH,0.045789,   435.08,,
Paycom Software Inc.,PAYC,0.045576,   352.34,,
UDR Inc.,UDR,0.045369,   57.25,,
Royal Caribbean Group,RCL,0.045291,   75.31,,
CarMax Inc.,KMX,0.044964,   102.57,,
EPAM Systems Inc.,EPAM,0.044209,   284.42,,
FMC Corporation,FMC,0.04404,   130.30,,
FactSet Research Systems Inc.,FDS,0.043945,   434.72,,
Textron Inc.,TXT,0.043815,   75.56,,
SolarEdge Technologies Inc.,SEDG,0.04362,   311.62,,
Clorox Company,CLX,0.043422,   133.59,,
NVR Inc.,NVR,0.043226,"   4,885.15",,
Teleflex Incorporated,TFX,0.043204,   348.39,,
Brown & Brown Inc.,BRO,0.042962,   69.56,,
Cardinal Health Inc.,CAH,0.042706,   57.49,,
Constellation Energy Corporation,CEG,0.0422,   48.86,,
NortonLifeLock Inc.,NLOK,0.042143,   26.94,,
MGM Resorts International,MGM,0.042113,   41.60,,
Xylem Inc.,XYL,0.041917,   88.11,,
AES Corporation,AES,0.0417,   23.60,,
Celanese Corporation,CE,0.041145,   142.54,,
Carnival Corporation,CCL,0.041042,   18.97,,
Western Digital Corporation,WDC,0.040901,   48.90,,
Kellogg Company,K,0.040768,   60.81,,
Domino's Pizza Inc.,DPZ,0.0405,   400.10,,
Atmos Energy Corporation,ATO,0.040478,   114.07,,
Live Nation Entertainment Inc.,LYV,0.040465,   112.69,,
Conagra Brands Inc.,CAG,0.040271,   31.88,,
IDEX Corporation,IEX,0.039942,   197.68,,
Alliant Energy Corp,LNT,0.039861,   61.05,,
Kimco Realty Corporation,KIM,0.039271,   23.99,,
Packaging Corporation of America,PKG,0.039254,   156.02,,
Leidos Holdings Inc.,LDOS,0.039162,   106.13,,
Evergy Inc.,EVRG,0.039146,   65.19,,
Qorvo Inc.,QRVO,0.038547,   128.54,,
Charles River Laboratories International Inc.,CRL,0.038054,   286.25,,
Iron Mountain Inc.,IRM,0.037967,   50.01,,
Masco Corporation,MAS,0.037611,   55.49,,
APA Corp.,APA,0.037579,   40.75,,
Interpublic Group of Companies Inc.,IPG,0.037472,   35.82,,
Avery Dennison Corporation,AVY,0.037469,   170.99,,
Incyte Corporation,INCY,0.037389,   76.17,,
